#r-i 					  g-r 						i-z 
-4.643780487804877177e-01 -6.038026643751319700e-01 -3.751220671068585810e-01
-4.633780487804877168e-01 -6.024384473478149316e-01 -3.739815698692894874e-01
-4.623780487804877160e-01 -6.010742303204978931e-01 -3.728410726317204493e-01
-4.613780487804877151e-01 -5.997100132931809657e-01 -3.717602401537463686e-01
-4.603780487804877142e-01 -5.983457962658639273e-01 -3.707362312563389217e-01
-4.593780487804877133e-01 -5.969815792385469999e-01 -3.697122223589315304e-01
-4.583780487804877124e-01 -5.955320059242817932e-01 -3.686882134615240836e-01
-4.573780487804877115e-01 -5.940004474799095435e-01 -3.676642045641166368e-01
-4.563780487804877106e-01 -5.924688890355374049e-01 -3.666401956667091899e-01
-4.553780487804877097e-01 -5.909373305911651553e-01 -3.656161867693017986e-01
-4.543780487804877088e-01 -5.894057721467929056e-01 -3.645921778718943518e-01
-4.533780487804877080e-01 -5.878742137024207670e-01 -3.635681689744869050e-01
-4.523780487804877071e-01 -5.863426552580485174e-01 -3.625441600770794581e-01
-4.513780487804877062e-01 -5.848110968136762677e-01 -3.615201511796720668e-01
-4.503780487804877053e-01 -5.832795383693040181e-01 -3.604961422822646200e-01
-4.493780487804877044e-01 -5.817479799249318795e-01 -3.594721333848571732e-01
-4.483780487804877035e-01 -5.802164214805596298e-01 -3.584481244874497818e-01
-4.473780487804877026e-01 -5.786848630361873802e-01 -3.574241155900423350e-01
-4.463780487804877017e-01 -5.771533045918152416e-01 -3.564001066926348882e-01
-4.453780487804877009e-01 -5.756217461474429919e-01 -3.553760977952274414e-01
-4.443780487804877000e-01 -5.740901877030707423e-01 -3.543520888978200500e-01
-4.433780487804876991e-01 -5.725586292586986037e-01 -3.533280800004126032e-01
-4.423780487804876982e-01 -5.710270708143263541e-01 -3.523040711030051564e-01
-4.413780487804876973e-01 -5.694955123699541044e-01 -3.512800622055977096e-01
-4.403780487804876964e-01 -5.679639539255819658e-01 -3.502560533081903182e-01
-4.393780487804876955e-01 -5.664323954812097162e-01 -3.492320444107828714e-01
-4.383780487804876946e-01 -5.649008370368374665e-01 -3.482080355133754246e-01
-4.373780487804876937e-01 -5.633692785924653279e-01 -3.471840266159679778e-01
-4.363780487804876929e-01 -5.618377201480930783e-01 -3.461600177185605864e-01
-4.353780487804876920e-01 -5.603061617037208286e-01 -3.451360088211531396e-01
-4.343780487804876911e-01 -5.587746032593485790e-01 -3.441119999237456928e-01
-4.333780487804876902e-01 -5.572301995690209786e-01 -3.430879910263383015e-01
-4.323780487804876893e-01 -5.556674470085860573e-01 -3.420639821289308546e-01
-4.313780487804876884e-01 -5.541046944481510250e-01 -3.410399732315234078e-01
-4.303780487804876875e-01 -5.525419418877159927e-01 -3.400159643341159610e-01
-4.293780487804876866e-01 -5.509791893272809604e-01 -3.389919554367085697e-01
-4.283780487804876858e-01 -5.494164367668460391e-01 -3.379679465393011228e-01
-4.273780487804876849e-01 -5.478536842064110068e-01 -3.369439376418936760e-01
-4.263780487804876840e-01 -5.462909316459759745e-01 -3.359201134139488953e-01
-4.253780487804876831e-01 -5.447281790855409422e-01 -3.349022735892833724e-01
-4.243780487804876822e-01 -5.431654265251060210e-01 -3.338844337646177940e-01
-4.233780487804876813e-01 -5.416026739646709887e-01 -3.328665939399522711e-01
-4.223780487804876804e-01 -5.400399214042359564e-01 -3.318487541152866926e-01
-4.213780487804876795e-01 -5.384771688438009241e-01 -3.308309142906211697e-01
-4.203780487804876786e-01 -5.369144162833660028e-01 -3.298130744659556468e-01
-4.193780487804876778e-01 -5.353516637229309705e-01 -3.287952346412900684e-01
-4.183780487804876769e-01 -5.337889111624959382e-01 -3.277773948166245455e-01
-4.173780487804876760e-01 -5.322261586020609059e-01 -3.267595549919589670e-01
-4.163780487804876751e-01 -5.306634060416258736e-01 -3.257417151672934441e-01
-4.153780487804876742e-01 -5.291006534811909523e-01 -3.247238753426279212e-01
